,n_score,e_score,o_score,a_score,c_score,i_score,s_score,age_25-34,age_35-44,age_45-54,age_55+,gender_Female,education_Graduate Degree,education_Left School before College,education_Professional Certificate/Diploma,education_University Degree,residing_country_Other,residing_country_USA
0,-0.947307010754914,1.2366430670981905,-0.4288003062645383,-0.6127251307197809,0.07599863616800125,1.0713216145223745,1.2927471013069702,0,0,0,0,0,0,0,0,0,0,1
1,0.15323048749639825,-0.5216290629974603,0.018546726049504043,-0.7678077461043341,0.21781571983958994,-0.8318974658222985,0.5480612583022999,0,1,0,0,0,0,0,0,0,0,1
2,-0.2869845118041266,1.6762110996221034,0.6150094358015605,0.7830184077411984,-1.625806367891063,1.0713216145223745,0.9204041798046352,0,0,0,0,0,0,0,0,0,0,1
3,-0.6171457612795203,1.6762110996221034,-2.0690727580826938,-1.0779729768734405,1.4941694728838881,1.0713216145223745,0.5480612583022999,0,0,0,1,0,1,0,0,0,0,0
4,-0.3970382616292578,2.115779132146016,1.360587822991631,0.6279357923566451,0.643266970854356,-0.3560926957361302,0.17571833679996476,1,0,0,0,1,1,0,0,0,0,0
5,-1.6076295097057012,0.504029679558336,0.9132407906775888,-0.30255989995067434,-1.9094405352342405,0.11971207435003803,0.5480612583022999,0,0,0,0,1,0,0,0,0,1,0
6,0.5934454867969231,-0.3751063854894894,0.16766240348751815,-1.0779729768734405,-0.20763553117517614,-1.3077022359084667,0.17571833679996476,1,0,0,0,1,0,0,0,0,0,1
7,1.583929235223104,-0.961197095521373,0.7641251132395747,0.007605330818432148,1.7778036402270656,-0.3560926957361302,-1.313653349209376,1,0,0,0,1,1,0,0,0,1,0
8,1.1437142359225791,0.650552357066307,1.211472145553617,0.1626879462029854,0.3596328035111786,0.5955168444362062,0.5480612583022999,0,1,0,0,1,0,0,0,1,0,0
9,2.464359233824154,0.504029679558336,-1.6217257257686513,-0.30255989995067434,1.3523523892122995,-0.3560926957361302,-0.9413104277070408,0,1,0,0,1,1,0,0,0,0,0
10,-1.1674145104051763,0.3575070020503651,-0.4288003062645383,-0.9228903614888874,0.21781571983958994,-0.3560926957361302,-0.5689675062047056,0,0,1,0,0,0,0,1,0,0,0
